case_folding,tokenizing
prabowo sindir anies baswedan  apbd paling besar  tapi kok mas anies gagal memimpin jakarta gacoan anies gempa daesang pagii batter up views pilihan terbaik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']"
chadlvn  arsipaja anies bagus sebenernya itu kuncinya sih ka  yg belakang jg ga bisa ngapa in  kecuali kalau aniesnya yg busuk baru bahaya  kalau presiden skrg saya ga berani komen yg kasar  khawatir knp,"['chadlvn', 'arsipaja', 'anies', 'bagus', 'sebenernya', 'itu', 'kuncinya', 'sih', 'ka', 'yg', 'belakang', 'jg', 'ga', 'bisa', 'ngapa', 'in', 'kecuali', 'kalau', 'aniesnya', 'yg', 'busuk', 'baru', 'bahaya', 'kalau', 'presiden', 'skrg', 'saya', 'ga', 'berani', 'komen', 'yg', 'kasar', 'khawatir', 'knp']"
bospurwa gak layak jadi presiden  pantesan gak pernah menang dulu saya dukung karena hanya pilihan sekarang anies paling layak dari semuanya,"['bospurwa', 'gak', 'layak', 'jadi', 'presiden', 'pantesan', 'gak', 'pernah', 'menang', 'dulu', 'saya', 'dukung', 'karena', 'hanya', 'pilihan', 'sekarang', 'anies', 'paling', 'layak', 'dari', 'semuanya']"
taufikrendusara dulu sih kali milih dia  sekarang sih udah makin yakin pilih anies ,"['taufikrendusara', 'dulu', 'sih', 'kali', 'milih', 'dia', 'sekarang', 'sih', 'udah', 'makin', 'yakin', 'pilih', 'anies']"
anies baswedan dituding capres banyak janji  timnas amin  janji kita terukur,"['anies', 'baswedan', 'dituding', 'capres', 'banyak', 'janji', 'timnas', 'amin', 'janji', 'kita', 'terukur']"
anies baswedan dituding capres banyak janji  timnas amin  janji kita terukur,"['anies', 'baswedan', 'dituding', 'capres', 'banyak', 'janji', 'timnas', 'amin', 'janji', 'kita', 'terukur']"
wkwkwk pendukung anies kek gini,"['wkwkwk', 'pendukung', 'anies', 'kek', 'gini']"
vivacoid waktu debat perdana  pak anies menunjukkan sebagai politisi yang intelek dengan setelan jas dan peci,"['vivacoid', 'waktu', 'debat', 'perdana', 'pak', 'anies', 'menunjukkan', 'sebagai', 'politisi', 'yang', 'intelek', 'dengan', 'setelan', 'jas', 'dan', 'peci']"
bungdree  tvonenews  kikysaputrii  aniesbaswedan yg disampaikan kiky malah bagus kok  justru memuji anies,"['bungdree', 'tvonenews', 'kikysaputrii', 'aniesbaswedan', 'yg', 'disampaikan', 'kiky', 'malah', 'bagus', 'kok', 'justru', 'memuji', 'anies']"
vivacoid terlihat dalam debat  anies selalu memilikikemampuan merancang dan menerapkan solusi solusi kreatif,"['vivacoid', 'terlihat', 'dalam', 'debat', 'anies', 'selalu', 'memiliki', 'kemampuan', 'merancang', 'dan', 'menerapkan', 'solusi', 'solusi', 'kreatif']"
vivacoid selama debat  anies memiliki banyak solusi mengenai masalah ketimpangan yang terjadi di indonesia,"['vivacoid', 'selama', 'debat', 'anies', 'memiliki', 'banyak', 'solusi', 'mengenai', 'masalah', 'ketimpangan', 'yang', 'terjadi', 'di', 'indonesia']"
