formalization,stopword_removal
"['bungdree', 'tvonenews', 'kikysaputrii', 'aniesbaswedan', 'yang', 'sampai', 'kiky', 'bahkan', 'bagus', 'kok', 'justru', 'puji', 'anies']",bungdree tvonenews kikysaputrii aniesbaswedan kiky bagus puji anies
"['vivacoid', 'lihat', 'dalam', 'debat', 'anies', 'selalu', 'milik', 'mampu', 'rancang', 'dan', 'terap', 'solusi', 'solusi', 'kreatif']",vivacoid lihat debat anies milik rancang terap solusi solusi kreatif
"['vivacoid', 'lama', 'debat', 'anies', 'milik', 'banyak', 'solusi', 'kena', 'masalah', 'timpang', 'yang', 'jadi', 'di', 'indonesia']",vivacoid debat anies milik solusi kena timpang indonesia
"['tidak_bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak_punya', 'alat', 'pantau', 'polusi', 'udara', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",tidak bicara sesuai fakta anies lantang lampung tidak punya alat pantau polusi udara gaco anies gempa daesang pagi batter up views pilih
"['prabowo', 'sindir', 'anies', 'baswedan', 'anggaran pendapatan dan belanja daerah', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'pimpin', 'jakarta', 'gaco', 'anies', 'gempa', 'daesang', 'pagi', 'batter', 'up', 'views', 'pilih', 'baik']",prabowo sindir anies baswedan anggaran pendapatan dan belanja daerah mas anies gagal pimpin jakarta gaco anies gempa daesang pagi batter up views pilih
"['vivacoid', 'lama', 'debat', 'nya', 'anies', 'kenal', 'program', 'program', 'untuk', 'solusi', 'dari', 'masalah', 'yang', 'ada', 'seperti', 'dalam', 'penididikan', 'transportasi', 'lingkung']",vivacoid debat nya anies kenal program program solusi penididikan transportasi lingkung
"['romeogadungan', 'seinget', 'ku', 'itu', 'yang', 'datang', 'makruf', 'aamiin', 'sama', 'jokowi', 'anies', 'tidak_ada', 'datang', 'acara', 'di', 'monas']",romeogadungan seinget ku makruf aamiin jokowi anies tidak ada acara monas
"['vivacoid', 'anies', 'dominasi', 'debat', 'pertama', 'dengan', 'retorika', 'yang', 'baik', 'dia', 'nilai', 'anies', 'punya', 'leluasa', 'serang', 'gagas', 'dua', 'kandidat', 'lain', 'karena', 'usung', 'visi', 'ubah']",vivacoid anies dominasi debat retorika nilai anies leluasa serang gagas kandidat usung visi ubah
"['di', 'ganjar', 'sama', 'prabowo', 'sama', 'ada', 'mantan', 'narapidana', 'korupsi', 'yang', 'jadi', 'timses', 'resmi', 'nasional', 'di', 'anies', 'ada', 'tidak_sih']",ganjar prabowo mantan narapidana korupsi timses resmi nasional anies tidak sih
"['vivacoid', 'lama', 'debat', 'langsung', 'anies', 'tunjuk', 'gambar', 'diri', 'bagai', 'orang', 'yang', 'ajar']",vivacoid debat langsung anies gambar orang ajar
"['hai', 'bestie', 'saat', 'debat', 'perdana', 'capres', 'cawapres', 'kemarin', 'malam', 'sisa', 'momen', 'yang', 'dramatis', 'mana', 'sang', 'pangeran', 'lupa', 'kalau', 'dia', 'lagi', 'ada', 'di', 'area', 'mimbar', 'debat', 'tidak_tanding', 'bola', 'apalagi', 'sang', 'pangeran', 'sampai', 'ngos', 'ngosan', 'awokawokawok', 'gaco', 'anies', 'malam', 'ordal']",hai bestie debat perdana capres cawapres kemarin malam sisa momen dramatis sang pangeran lupa area mimbar debat tidak tanding bola sang pangeran ngos ngosan awokawokawok gaco anies malam ordal
"['anies', 'si', 'dablek', 'habis', 'uang', 'negara', 'triliun', 'tapi', 'tidak_bisa', 'atas', 'polusi', 'jungkook', 'is', 'coming', 'olivia', 'gaco', 'daesang', 'bangtan', 'debut', 'karina', 'wonbin', 'batter', 'up', 'views']",anies si dablek habis uang negara triliun tidak bisa polusi jungkook is coming olivia gaco daesang bangtan debut karina wonbin batter up views
