full_text,cleansing
Tidak Bicara Sesuai Fakta! Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/phrHdZxWUT,Tidak Bicara Sesuai Fakta  Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara Gacoan Anies gempa Daesang Pagii BATTER UP VIEWS pilihan terbaik
"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/Lbvw4f00d9",Prabowo Sindir Anies Baswedan  APBD Paling Besar  Tapi Kok Mas Anies Gagal Memimpin Jakarta Gacoan Anies gempa Daesang Pagii BATTER UP VIEWS pilihan terbaik
"@chadlvn @ARSIPAJA Anies bagus sebenernya itu kuncinya sih ka. Yg belakang jg ga bisa ngapa2in, kecuali kalau aniesnya yg busuk baru bahaya. Kalau presiden skrg saya ga berani komen yg kasar, khawatir knp2.",chadlvn  ARSIPAJA Anies bagus sebenernya itu kuncinya sih ka  Yg belakang jg ga bisa ngapa in  kecuali kalau aniesnya yg busuk baru bahaya  Kalau presiden skrg saya ga berani komen yg kasar  khawatir knp
@BosPurwa Gak layak jadi presiden' pantesan gak pernah menang ..... Dulu saya dukung karena hanya 2 pilihan.... Sekarang Anies paling layak dari semuanya,BosPurwa Gak layak jadi presiden  pantesan gak pernah menang Dulu saya dukung karena hanya pilihan Sekarang Anies paling layak dari semuanya
"@TaufikRendusara Dulu sih 2 kali milih dia, sekarang sih udah makin yakin pilih Anies 👍👍 https://t.co/ZxMw7Z2mQI",TaufikRendusara Dulu sih kali milih dia  sekarang sih udah makin yakin pilih Anies 
"Anies Baswedan Dituding Capres Banyak Janji, Timnas AMIN: Janji Kita Terukur! https://t.co/4e00XR8bE6",Anies Baswedan Dituding Capres Banyak Janji  Timnas AMIN  Janji Kita Terukur
"Anies Baswedan Dituding Capres Banyak Janji, Timnas AMIN: Janji Kita Terukur! https://t.co/xwyROT10Fn",Anies Baswedan Dituding Capres Banyak Janji  Timnas AMIN  Janji Kita Terukur
Wkwkwk pendukung Anies kek gini,Wkwkwk pendukung Anies kek gini
"@VIVAcoid Waktu debat perdana, Pak Anies menunjukkan sebagai politisi yang intelek dengan setelan jas dan peci",VIVAcoid Waktu debat perdana  Pak Anies menunjukkan sebagai politisi yang intelek dengan setelan jas dan peci
@bungdree @tvOneNews @kikysaputrii @aniesbaswedan Yg disampaikan kiky malah bagus kok. Justru memuji anies,bungdree  tvOneNews  kikysaputrii  aniesbaswedan Yg disampaikan kiky malah bagus kok  Justru memuji anies
"@VIVAcoid Terlihat dalam debat, Anies selalu memilikikemampuan merancang dan menerapkan solusi-solusi kreatif.",VIVAcoid Terlihat dalam debat  Anies selalu memilikikemampuan merancang dan menerapkan solusi solusi kreatif
"@VIVAcoid Selama debat, Anies memiliki banyak solusi mengenai masalah ketimpangan yang terjadi di Indonesia.",VIVAcoid Selama debat  Anies memiliki banyak solusi mengenai masalah ketimpangan yang terjadi di Indonesia
Tidak Bicara Sesuai Fakta! Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara   Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/vmMBn6nQQa,Tidak Bicara Sesuai Fakta  Anies Dengan Lantang Sebut Lampung Tidak Mempunyai Alat Pemantau Polusi Udara Gacoan Anies gempa Daesang Pagii BATTER UP VIEWS pilihan terbaik
"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/93yTT01LL9",Prabowo Sindir Anies Baswedan  APBD Paling Besar  Tapi Kok Mas Anies Gagal Memimpin Jakarta Gacoan Anies gempa Daesang Pagii BATTER UP VIEWS pilihan terbaik
"@VIVAcoid Selama debat nya, Anies memperkenalkan program-program untuk solusidari masalah yang ada seperti dalam penididikan, transportasi, lingkungan.",VIVAcoid Selama debat nya  Anies memperkenalkan program program untuk solusidari masalah yang ada seperti dalam penididikan  transportasi  lingkungan
@romeogadungan Seinget ku 212 itu yg datang makruf amin sama Jokowi 😂 anies ga ada datang acara 212 di monas,romeogadungan Seinget ku itu yg datang makruf amin sama Jokowi  anies ga ada datang acara di monas
"@VIVAcoid Anies mendominasi debat pertama dengan retorika yang baik. Dia menilai Anies punya keleluasaan menyerang gagasan dua kandidat lain karena mengusung visi perubahan"".""",VIVAcoid Anies mendominasi debat pertama dengan retorika yang baik  Dia menilai Anies punya keleluasaan menyerang gagasan dua kandidat lain karena mengusung visi perubahan
di ganjar sama prabowo sama2 ada mantan napi korupsi yang jadi timses resmi nasional. di anies ada ga sih?,di ganjar sama prabowo sama  ada mantan napi korupsi yang jadi timses resmi nasional  di anies ada ga sih
"@VIVAcoid Selama debat berlangsung, Anies menunjukkan gambaran diri sebagai seorang yang terpelajar.",VIVAcoid Selama debat berlangsung  Anies menunjukkan gambaran diri sebagai seorang yang terpelajar
"Haiii BESTie...!!  Disaat debat perdana capres-cawapres kemaren malam menyisakan momen yang dramatis, dimana sang pangeran lupa kalau dia lagi berada di area mimbar debat bukan pertandingan bola, apalagi sang pangeran sampai ngos-ngosan. . Awokawokawok  Gacoan Anies Semalem Ordal https://t.co/r3AW3moon6",Hai BESTie Disaat debat perdana capres cawapres kemaren malam menyisakan momen yang dramatis  dimana sang pangeran lupa kalau dia lagi berada di area mimbar debat bukan pertandingan bola  apalagi sang pangeran sampai ngos ngosan Awokawokawok  Gacoan Anies Semalem Ordal
anies si dablek habiskan uang negara 80 triliun tapi tak bisa atasi polusi!!  JUNGKOOK IS COMING olivia Gacoan Daesang BANGTAN DEBUT Karina #BABYMONSTER #DeathsGame Wonbin BATTER UP 100M VIEWS https://t.co/kgDM3rcXKd,anies si dablek habiskan uang negara triliun tapi tak bisa atasi polusi JUNGKOOK IS COMING olivia Gacoan Daesang BANGTAN DEBUT Karina Wonbin BATTER UP VIEWS
"@KEWALORENZO @bobby_risakotta Ayo Bli Ketut maen2 lah ke Jakarta, biar bisa merasakan kemajuan Jakarta sejak dipimpin Anies.",KEWALORENZO  bobby risakotta Ayo Bli Ketut maen  lah ke Jakarta  biar bisa merasakan kemajuan Jakarta sejak dipimpin Anies
"@VIVAcoid selama debat, Anies dapat tampil dengan tenang dalam menjelaskan segala pertanyaan atas permasalahan yang dibahas dalam debat.",VIVAcoid selama debat  Anies dapat tampil dengan tenang dalam menjelaskan segala pertanyaan atas permasalahan yang dibahas dalam debat
@sobat_anies @PartaiSocmed @PartaiSocmed dikasih fakta nih,sobat anies  PartaiSocmed  PartaiSocmed dikasih fakta nih
@PrabuSantoso1 @wasleee @sobat_anies @PartaiSocmed Iya ya. Saya jdi malu. Ini cari presiden lo  bukan ketua rt,PrabuSantoso wasle  sobat anies  PartaiSocmed Iya ya  Saya jdi malu  Ini cari presiden lo  bukan ketua rt
"@VIVAcoid Dalam debatnya, Anies hendak memanfaatkan tren yang populer di sosial media untuk menyebarluaskan kritik. Terutama, kritik tentang kemerdekaan berpendapat.",VIVAcoid Dalam debatnya  Anies hendak memanfaatkan tren yang populer di sosial media untuk menyebarluaskan kritik  Terutama  kritik tentang kemerdekaan berpendapat
