formalization,stopword_removal
"['ahy', 'instruksi', 'kader', 'demokrat', 'rapat', 'baris', 'menang', 'prabowo', 'rel', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy instruksi kader demokrat rapat baris menang prabowo rel agusyudhoyono pdemokrat demokrat bareng ahy
"['dlm', 'debat', 'anies', 'ganjar', 'seperti', 'kompak', 'serang', 'prabowo', 'tentang', 'langgar', 'ham', 'bisnis', 'macet', 'tidak_ikut', 'kuasa', 'kenapa', 'prabowo', 'tidak_balik', 'bertanya', 'kasus', 'ktp', 'ke', 'ganjar', 'atau', 'formula', 'warga', 'dki', 'tinggal', 'tapi', 'trlantar', 'ke', 'anies', 'juru bicara', 'bala', 'lebih', 'sibuk', 'counter', 'serang', 'lawan', 'settingan', 'laksanakan']",dlm debat anies ganjar kompak serang prabowo langgar ham bisnis macet tidak ikut kuasa prabowo tidak balik ktp ganjar formula warga dki tinggal trlantar anies juru bicara bala sibuk counter serang lawan settingan laksanakan
"['ahy', 'ajak', 'seluruh', 'kader', 'partai', 'demokrat', 'menang', 'prabowo', 'di', 'pilpres', 'upj', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",ahy ajak kader partai demokrat menang prabowo pilpres upj pdemokrat agusyudhoyono demokrat bareng ahy
"['bansos', 'itu', 'rupa', 'bagi', 'dari', 'peran', 'negara', 'untuk', 'hadir', 'kepada', 'masyarakat', 'miskin', 'tidak_bagai', 'ajang', 'bancak', 'sosial', 'untuk', 'kampanye', 'gaco', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilih', 'baik', 'kela', 'prabowo']",bansos rupa peran negara hadir masyarakat miskin tidak bagai ajang bancak sosial kampanye gaco anies daesang olivia gempa adidas dana ahok batter up views molly ginting pilih kela prabowo
"['satu', 'antara', 'prabowo', 'dan', 'jokowi', 'pada', 'tahun', 'buat', 'indonesia', 'bisa', 'lewat', 'bagai', 'krisis', 'dalam', 'beberapa', 'tahun', 'akhir', 'dekade']",prabowo jokowi indonesia krisis dekade
"['tjel', 'up', 'prabowo', 'netizen', 'mau tahu urusan orang', 'tidak_karena', 'siapa', 'yang', 'paling', 'banyak', 'harta', 'tapi', 'cangkem', 'dia', 'prabowo', 'yang', 'blunder', 'di', 'panggung', 'debat', 'saya', 'tidak_punya', 'apa', 'apa', 'padahal', 'dg', 'sebut', 'apa', 'apa', 'saja', 'punya']",tjel up prabowo netizen mau tahu urusan orang tidak karena harta cangkem prabowo blunder panggung debat tidak punya
"['pakai', 'strategi', 'serang', 'darat', 'dan', 'udara', 'demokrat', 'jakarta', 'kerja', 'keras', 'menang', 'prabowo', '', '', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",pakai strategi serang darat udara demokrat jakarta kerja keras menang prabowo   agusyudhoyono pdemokrat demokrat bareng ahy
"['chaves', 'aniesbaswedan', 'fahrihamzah', 'gerindra', 'datuakrajoangek', 'wakwawaww', 'mohon', 'maaf', 'numpang', 'tanya', 'kali', 'ini', 'pak', 'prabowo', 'itu', 'mau', 'nyalonin', 'jadi', 'presiden', 'apa', 'mau', 'nyalonin', 'jadi', 'tri', 'pak', 'kasih', 'bapak', 'nanti', 'sudah', 'capek', 'maki', 'orang', 'fitnah', 'orang', 'tidak_tahu', 'yang', 'di', 'bela', 'sebenarnya', 'cuma', 'mau', 'jadi', 'tri']",chaves aniesbaswedan fahrihamzah gerindra datuakrajoangek wakwawaww mohon maaf numpang kali prabowo nyalonin presiden nyalonin tri kasih capek maki orang fitnah orang tidak tahu bela tri
"['kangsemproel', 'vivacoid', 'lambe', 'turah', 'di', 'mintain', 'dapat', 'saja', 'sudah', 'aneh', 'apalagi', 'doi', 'baris', 'sama', 'si', 'ituh']",kangsemproel vivacoid lambe turah mintain aneh doi baris si ituh
"['bansos', 'itu', 'buat', 'rakyat', 'miskin', 'tidak_untuk', 'butuh', 'kampanye', 'gaco', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilih', 'baik', 'kela', 'prabowo']",bansos rakyat miskin tidak untuk butuh kampanye gaco anies daesang olivia gempa adidas dana ahok batter up views molly ginting pilih kela prabowo
"['gerindra', 'prabowo', 'jogetin', 'saja', 'tertawa']",gerindra prabowo jogetin tertawa
"['demokrat', 'sumbar', 'tegak', 'lurus', 'instruksi', 'ahy', 'siap', 'menang', 'prabowo', 'di', 'pilpres', 'kyz', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",demokrat sumbar tegak lurus instruksi ahy menang prabowo pilpres kyz agusyudhoyono pdemokrat demokrat bareng ahy
"['ahy', 'mengaku', 'tidak_masalah', 'siapa', 'cawapres', 'prabowo', 'kita', 'fokus', 'menang', 'nyg', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy mengaku tidak masalah cawapres prabowo fokus menang nyg agusyudhoyono pdemokrat demokrat bareng ahy
"['semangat', 'baharu', 'prabowo', 'gibran', 'rintis', 'emas', 'negeri', 'program', 'prioritaspragibs']",semangat baharu prabowo gibran rintis emas negeri program prioritaspragibs
"['kalau', 'ini', 'mah', 'tidak_bagi', 'bagi', 'bansos', 'nama', 'pak', 'tapi', 'kampanye', 'sponsor', 'negera', 'gaco', 'anies', 'daesang', 'olivia', 'gempa', 'adidas', 'dana', 'ahok', 'batter', 'up', 'views', 'molly', 'ginting', 'pilih', 'baik', 'kela', 'prabowo']",mah tidak bagi bansos nama kampanye sponsor negera gaco anies daesang olivia gempa adidas dana ahok batter up views molly ginting pilih kela prabowo
"['titip', 'dua', 'agenda', 'kepada', 'prabowo', 'ahy', 'esensi', 'ubah', 'dan', 'baik', 'yang', 'kita', 'juang', 'rga', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",titip agenda prabowo ahy esensi ubah juang rga pdemokrat agusyudhoyono demokrat bareng ahy
"['anies', 'dan', 'ganjar', 'itu', 'tidak_tegas', 'mereka', 'gatau', 'mau', 'lanjutin', 'apa', 'sudah', 'deh', 'yang', 'jelas', 'jelas', 'saja', 'pak', 'prabowo']",anies ganjar tidak tegas gatau lanjutin deh prabowo
"['tatakujiyati', 'biar', 'adil', 'anis', 'cocok', 'jadi', 'presiden', 'debat', 'biar', 'prabowo', 'yang', 'jadi', 'presiden', 'indonesia']",tatakujiyati biar adil anis cocok presiden debat biar prabowo presiden indonesia
"['masing', 'masing', 'buzzer', 'dukung', 'aniesbaswedan', 'prabowo', 'ganjarpranowo', 'kan', 'pada', 'yakin', 'tuh', 'kalau', 'yang', 'pegang', 'bakal', 'menang', 'jadi', 'presiden', 'tapi', 'kenapa', 'saling', 'jelek', 'satu', 'sama', 'lain']",buzzer dukung aniesbaswedan prabowo ganjarpranowo tuh pegang menang presiden jelek
"['javan', 'eka', 'davidnurbianto', 'tapi', 'menurut', 'saya', 'sih', 'gara', 'bangpior', 'deh', 'kalau', 'tidak_salah', 'salah', 'satu', 'konten', 'dia', 'kata', 'akan', 'pilih', 'prabowo', 'karena', 'lucu', 'dia', 'blang', 'begitu', 'pas', 'telah', 'lihat', 'potong', 'tt', 'yang', 'pak', 'ps', 'di', 'kakak', 'najwa', 'yang', 'eits', 'entar', 'tunggu', 'dulu', 'yang', 'sambil', 'joget', 'soal', 'ptongan', 'tt', 'bangpior', 'itu', 'ramai']",javan eka davidnurbianto sih gara bangpior deh tidak salah salah konten pilih prabowo lucu blang pas lihat potong tt ps kakak najwa eits entar tunggu joget ptongan tt bangpior ramai
"['partaisocmed', 'pak', 'prabowo', 'tani', 'cawapres', 'atau', 'walikota', 'solo', 'admin']",partaisocmed prabowo tani cawapres walikota solo admin
"['ahy', 'minta', 'kader', 'panas', 'mesin', 'partai', 'menang', 'prabowo', 'pada', 'pilpres', 'jla', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",ahy kader panas mesin partai menang prabowo pilpres jla agusyudhoyono pdemokrat demokrat bareng ahy
"['prabowo', 'tegas', 'akan', 'tambah', 'gaji', 'demi', 'hapus', 'pungli']",prabowo gaji hapus pungli
"['komitmen', 'dukung', 'prabowo', 'ahy', 'pasti', 'hadir', 'temu', 'tum', 'kim', 'nun', 'agusyudhoyono', 'pdemokrat', 'demokrat', 'bareng', 'ahy']",komitmen dukung prabowo ahy hadir temu tum kim nun agusyudhoyono pdemokrat demokrat bareng ahy
